City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,71.82,light rain,-23.1203,-134.9692,People ThankYou
1,High Level,CA,69.67,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
2,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
3,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
5,Nantucket,US,78.91,clear sky,41.2835,-70.0995,Jared Coffin House
6,Bengkulu,ID,72.32,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
10,Warrington,GB,58.95,light rain,53.3925,-2.5802,Villaggio Hotel
12,Keuruu,FI,73.58,overcast clouds,62.2667,24.7,Hostelli Nonna
13,Nikolskoye,RU,67.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
16,Tottori,JP,77.29,clear sky,35.5,134.2333,Hotel Monarque Tottori
17,Saint-Philippe,RE,67.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Yellowknife,CA,68.63,overcast clouds,62.456,-114.3525,The Explorer Hotel
19,Ardesen,TR,71.13,overcast clouds,41.1911,40.9875,Green Suada Hotel
20,Kapaa,US,82.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Dalby,AU,56.98,moderate rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
22,Lac-Megantic,CA,80.51,overcast clouds,45.5834,-70.8823,Motel Le Quiet
25,Anju,KP,70.7,overcast clouds,39.6178,125.6647,Super Secret Russian Base
26,Duluth,US,78.3,clear sky,46.7833,-92.1066,South Pier Inn
28,Lusaka,ZM,56.95,broken clouds,-15.4067,28.2871,"Radisson Blu Hotel, Lusaka"
29,Hithadhoo,MV,81.27,heavy intensity rain,-0.6,73.0833,Scoop Guest House
31,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Aykhal,RU,64.22,overcast clouds,66.0,111.5,
33,Pacifica,US,78.22,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
35,Margate,GB,57.87,clear sky,51.3813,1.3862,Premier Inn Margate hotel
36,Altamira,BR,78.1,broken clouds,-3.2033,-52.2064,Requinte Hotel
37,Jamestown,US,84.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Bredasdorp,ZA,59.32,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
40,Banda Aceh,ID,78.82,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
41,Sawankhalok,TH,75.9,overcast clouds,17.316,99.8319,Boon Bunleng Resort
42,Mount Isa,AU,51.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
43,Poopo,BO,51.78,overcast clouds,-18.3667,-66.9667,turistico HOTEL
44,Port Lincoln,AU,52.77,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
46,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
47,Niort,FR,56.35,few clouds,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
48,Charters Towers,AU,60.96,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
49,Zhigansk,RU,58.82,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
50,Takoradi,GH,75.51,broken clouds,4.8845,-1.7554,Raybow International Hotel
52,Hauterive,FR,61.56,few clouds,46.0901,3.4459,Aletti Palace Hotel
54,Grand Gaube,MU,67.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
55,Yabrud,SY,67.39,clear sky,33.9674,36.6574,صالة افراح الاندلس
56,Namatanai,PG,80.11,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
57,Koppal,IN,75.06,overcast clouds,15.35,76.15,Hotel B.S.Pawar Grand
58,Chanika,TZ,59.22,scattered clouds,-5.4167,38.0167,New Rombo Green Hotel
60,Saskylakh,RU,53.04,broken clouds,71.9167,114.0833,
61,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
62,Bambous Virieux,MU,67.21,light rain,-20.3428,57.7575,Casa Tia Villa
63,Castro,BR,55.15,clear sky,-24.7911,-50.0119,CHACARA BAILLY
64,Kommunar,RU,67.55,broken clouds,59.6206,30.39,Guest House Izhora
65,Cidreira,BR,60.75,clear sky,-30.1811,-50.2056,Hotel Castelo
67,Thunder Bay,CA,65.32,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
68,East London,ZA,68.99,clear sky,-33.0153,27.9116,Tu Casa
70,Buchanan,LR,77.2,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
71,Mahebourg,MU,67.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Mahuva,IN,82.31,moderate rain,21.0914,71.7622,Hotel Blue Diamond.
74,Hermanus,ZA,60.66,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
75,Marienburg,PL,70.12,light rain,54.0359,19.0266,Hotel Centrum Malbork
76,Verkhnevilyuysk,RU,62.42,broken clouds,63.4453,120.3167,Gostinitsa Mila
78,Samarai,PG,80.91,overcast clouds,-10.6167,150.6667,Nuli Sapi
79,Lasa,IT,62.37,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
80,Tautira,PF,77.41,scattered clouds,-17.7333,-149.15,Pension Oaoa
81,Den Helder,NL,62.58,few clouds,52.9599,4.7593,Hotel Den Helder
82,Kununurra,AU,60.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
84,Buala,SB,80.87,light rain,-8.145,159.5921,Maringe Lagoon Lodge
85,Padang,ID,75.11,few clouds,-0.9492,100.3543,Mercure Padang
86,Coquimbo,CL,56.93,broken clouds,-29.9533,-71.3436,Hotel San Juan
87,Srednekolymsk,RU,59.92,clear sky,67.45,153.6833,
88,Cape Town,ZA,64.89,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
89,La Ronge,CA,59.88,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
90,Port Alfred,ZA,68.27,clear sky,-33.5906,26.891,The Halyards Hotel
91,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
92,Souillac,MU,69.01,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
93,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
94,Butaritari,KI,82.42,light rain,3.0707,172.7902,Isles Sunset Lodge
95,Matay,EG,85.77,clear sky,28.419,30.7792,Nag Aespen
96,Guerrero Negro,MX,77.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
97,Acoyapa,NI,77.97,overcast clouds,11.9703,-85.1711,Hotel y Restaurante Los Robles
99,Vestmannaeyjar,IS,53.71,scattered clouds,63.4427,-20.2734,Glamping & Camping
100,Talnakh,RU,52.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
102,Bose,IT,72.99,clear sky,45.4612,8.0137,Locanda Borgo Antico
103,Carnarvon,AU,59.86,clear sky,-24.8667,113.6333,Hospitality Carnarvon
104,Murgab,TM,85.86,clear sky,37.4966,61.9714,Wepa Nurlyýew
105,Lahan,NP,81.03,moderate rain,26.7296,86.4951,Bhattarai Residence
106,Anloga,GH,77.74,scattered clouds,5.7947,0.8973,Pin Drop Hotel
107,Puerto Carreno,CO,84.25,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
108,Kargat,RU,52.29,overcast clouds,55.1956,80.2811,Kargat
111,Amapa,BR,75.72,broken clouds,1.0,-52.0,
112,Kondinskoye,RU,54.28,overcast clouds,59.6481,67.41,Gostinitsa
114,Yuncheng,CN,76.5,overcast clouds,35.0231,110.9928,晋州快捷酒店
117,Urengoy,RU,52.36,broken clouds,65.9667,78.3667,Gostinnitsa Medveditsa
118,Tuktoyaktuk,CA,56.62,few clouds,69.4541,-133.0374,End of The Road Ltd.
119,Dingle,PH,76.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
120,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
121,Sovetskiy,RU,52.36,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
122,Bentiu,SS,77.0,overcast clouds,9.2333,29.8333,Mandela hôtel
123,Touros,BR,77.85,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
124,Pyapon,MM,77.97,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
129,Airai,TL,58.64,broken clouds,-8.9266,125.4092,
133,Almeria,ES,70.77,few clouds,37.1667,-2.3333,Casa Rural El Laurel
134,Port Shepstone,ZA,61.56,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
136,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
137,Severo-Kurilsk,RU,52.3,overcast clouds,50.6789,156.125,Kak Doma
138,Chiredzi,ZW,59.99,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
139,Mar Del Plata,AR,52.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
140,Lisieux,FR,62.11,broken clouds,49.1667,0.1667,La ville au calme
141,Kutum,SD,79.36,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
142,Kysyl-Syr,RU,62.17,scattered clouds,63.8986,122.7617,
143,Ca Mau,VN,78.28,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
145,Luocheng,CN,71.08,overcast clouds,29.3848,104.0286,Luocheng Hotel
146,Norman Wells,CA,78.55,broken clouds,65.282,-126.8329,Heritage Hotel
147,Xuddur,SO,72.48,few clouds,4.1213,43.8894,Banjanay Hotel
148,Urubicha,BO,84.34,scattered clouds,-15.3833,-62.95,
149,Amga,RU,67.68,clear sky,60.8953,131.9608,Algys
150,Kodar,IN,84.16,overcast clouds,16.9833,79.9667,Hotel Athidhi Grand
152,Nome,US,61.16,smoke,64.5011,-165.4064,Dredge 7 Inn
154,Sorland,NO,57.06,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
155,Hami,CN,85.44,overcast clouds,42.8,93.45,Laoyutang Resort
156,Marquette,US,74.64,few clouds,46.5333,-87.6335,Al Quaal Lodge
157,Villa Maria,AR,62.82,broken clouds,-32.4075,-63.2402,Hotel Milenium
158,Faanui,PF,78.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Lagoa,PT,67.41,overcast clouds,39.05,-27.9833,Casa Das Faias
160,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
163,Salalah,OM,80.6,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
164,Nelson Bay,AU,55.99,light rain,-32.7167,152.15,Mantra Nelson Bay
165,Babstovo,RU,66.97,light rain,48.1167,132.4833,
167,Mogadishu,SO,77.32,overcast clouds,2.0371,45.3438,Hotel Juba
169,Pirovskoye,RU,57.33,overcast clouds,57.6267,92.2658,
170,Nosy Varika,MG,68.77,light rain,-20.5833,48.5333,Hotel Volazara
171,Puerto Narino,CO,82.8,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
172,Amahai,ID,76.73,broken clouds,-3.3333,128.9167,HOTEL ISABELA
173,Roald,NO,68.9,clear sky,62.5833,6.1333,Flem Cabins
174,Millet,CA,69.17,scattered clouds,53.1001,-113.4687,Millet Village Trailer Park
175,Tromso,NO,70.38,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
176,Kargasok,RU,50.13,overcast clouds,59.0556,80.8572,Hotel Kargasok
177,Sola,VU,80.11,light rain,-13.8833,167.55,Leumerus Bungalows
178,Port Blair,IN,82.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
180,Fort Nelson,CA,72.55,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
181,Sobolevo,RU,62.24,broken clouds,54.4299,31.8996,
183,Kodiak,US,54.91,mist,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
184,Dharchula,IN,72.64,overcast clouds,29.85,80.5333,Mahara Hotel
185,Miracema,BR,68.77,clear sky,-21.4122,-42.1967,Novo Hotel Varandas
186,Port Hedland,AU,53.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
187,Majene,ID,76.66,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
188,Simao,CN,64.54,overcast clouds,22.7886,100.9748,Changyu Hotel
189,Narsaq,GL,55.62,scattered clouds,60.9167,-46.05,Sleep In Narsaq
190,Arklow,IE,58.08,light rain,52.7931,-6.1414,"Arklow Bay Conference, Leisure & Spa Hotel"
191,Sandwick,GB,51.62,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
194,Vila Franca Do Campo,PT,69.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
195,Sorong,ID,77.4,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
196,Kavieng,PG,82.72,clear sky,-2.5744,150.7967,Nusa Island Retreat
198,Vila Velha,BR,71.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
199,Cheney,US,85.75,scattered clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
200,Kushiro,JP,60.42,overcast clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
201,Atasu,KZ,58.24,scattered clouds,48.6814,71.6433,Dostyk
202,Port Hardy,CA,59.4,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
203,Kruisfontein,ZA,69.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
204,Pangai,TO,77.97,clear sky,-19.8,-174.35,Ha'apai Beach Resort
205,Palmas,BR,85.87,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
208,Lerwick,GB,51.8,light rain,60.1545,-1.1494,The Lerwick Hotel
